ID	m6Acluster
GSM1539583_treat	A
GSM1539586_treat	B
GSM1539587_treat	B
GSM1539589_treat	B
GSM1539593_treat	B
GSM1539599_treat	B
GSM1539604_treat	A
GSM1539606_treat	B
GSM1539613_treat	A
GSM1539616_treat	A
GSM1539619_treat	B
GSM1539623_treat	B
GSM1539624_treat	A
GSM1539626_treat	B
GSM1539627_treat	B
GSM1539629_treat	A
GSM1539630_treat	B
GSM1539632_treat	A
GSM1539634_treat	B
GSM1539637_treat	A
GSM1539641_treat	A
GSM1539643_treat	B
GSM1539644_treat	A
GSM1539646_treat	B
GSM1539647_treat	B
GSM1539648_treat	A
GSM1539650_treat	B
GSM1539656_treat	B
GSM1539661_treat	B
GSM1539662_treat	A
GSM1539663_treat	B
GSM1539665_treat	B
GSM1539666_treat	B
GSM1539673_treat	B
GSM1539674_treat	B
GSM1539675_treat	A
GSM1539676_treat	A
GSM1539678_treat	A
GSM1539687_treat	B
GSM1539689_treat	B
GSM1539691_treat	A
GSM1539692_treat	B
GSM1539693_treat	B
GSM1539697_treat	A
GSM1539698_treat	B
GSM1539701_treat	B
GSM1539703_treat	B
GSM1539705_treat	B
GSM1539713_treat	B
GSM1539717_treat	B
GSM1539718_treat	B
GSM1539719_treat	B
GSM1539720_treat	B
GSM1539721_treat	B
GSM1539722_treat	B
GSM1539723_treat	B
GSM1539727_treat	B
GSM1539728_treat	A
GSM1539729_treat	A
GSM1539732_treat	B
GSM1539733_treat	B
GSM1539736_treat	A
GSM1539737_treat	A
GSM1539739_treat	B
GSM1539742_treat	B
GSM1539743_treat	A
GSM1539746_treat	A
GSM1539747_treat	A
GSM1539748_treat	B
GSM1539749_treat	B
GSM1539751_treat	B
GSM1539752_treat	A
GSM1539763_treat	B
GSM1539765_treat	B
GSM1539766_treat	A
GSM1539767_treat	B
GSM1539768_treat	B
GSM1539769_treat	A
GSM1539773_treat	A
GSM1539777_treat	B
GSM1539778_treat	B
GSM1539780_treat	A
GSM1539783_treat	B
GSM1539785_treat	B
GSM1539787_treat	B
GSM1539788_treat	A
GSM1539794_treat	B
GSM1539660_treat	A
GSM1539695_treat	B
GSM1539750_treat	A
GSM1539409_treat	B
GSM1539410_treat	B
GSM1539411_treat	A
GSM1539412_treat	B
GSM1539413_treat	B
GSM1539414_treat	B
GSM1539415_treat	A
GSM1539416_treat	B
GSM1539417_treat	A
GSM1539418_treat	A
GSM1539419_treat	B
GSM1539420_treat	B
GSM1539421_treat	B
GSM1539422_treat	A
GSM1539423_treat	A
GSM1539424_treat	B
GSM1539425_treat	B
GSM1539426_treat	A
GSM1539427_treat	B
GSM1539428_treat	B
GSM1539429_treat	B
GSM1539430_treat	B
GSM1539431_treat	A
GSM1539432_treat	A
GSM1539433_treat	B
GSM1539434_treat	B
GSM1539435_treat	A
GSM1539436_treat	B
GSM1539437_treat	A
GSM1539438_treat	B
GSM1539551_treat	B
GSM1539556_treat	B
GSM1539557_treat	B
GSM1539558_treat	A
GSM1539559_treat	B
GSM1539561_treat	A
GSM1539564_treat	B
GSM1539565_treat	B
GSM1539566_treat	B
GSM1539567_treat	B
GSM1539568_treat	A
GSM1539572_treat	B
GSM1539574_treat	B
GSM1539584_treat	B
GSM1539590_treat	B
GSM1539591_treat	B
GSM1539592_treat	B
GSM1539594_treat	B
GSM1539598_treat	A
GSM1539602_treat	B
GSM1539608_treat	A
GSM1539609_treat	B
GSM1539610_treat	B
GSM1539611_treat	B
GSM1539612_treat	B
GSM1539614_treat	B
GSM1539618_treat	A
GSM1539620_treat	B
GSM1539622_treat	A
GSM1539625_treat	A
GSM1539628_treat	A
GSM1539631_treat	B
GSM1539633_treat	B
GSM1539635_treat	A
GSM1539636_treat	B
GSM1539638_treat	B
GSM1539639_treat	A
GSM1539640_treat	A
GSM1539642_treat	A
GSM1539645_treat	B
GSM1539654_treat	A
GSM1539657_treat	B
GSM1539658_treat	B
GSM1539659_treat	B
GSM1539669_treat	A
GSM1539672_treat	B
GSM1539680_treat	B
GSM1539681_treat	B
GSM1539682_treat	B
GSM1539683_treat	B
GSM1539684_treat	B
GSM1539690_treat	A
GSM1539700_treat	A
GSM1539708_treat	B
GSM1539724_treat	B
GSM1539725_treat	B
GSM1539726_treat	B
GSM1539730_treat	B
GSM1539734_treat	B
GSM1539735_treat	A
GSM1539741_treat	B
GSM1539744_treat	B
GSM1539753_treat	B
GSM1539755_treat	B
GSM1539756_treat	A
GSM1539760_treat	A
GSM1539761_treat	B
GSM1539771_treat	B
GSM1539772_treat	B
GSM1539774_treat	B
GSM1539776_treat	A
GSM1539782_treat	B
GSM1539784_treat	B
GSM1539786_treat	B
GSM1539789_treat	B
GSM1539790_treat	B
GSM1539791_treat	A
GSM1539792_treat	B
GSM1539793_treat	A
GSM1539688_treat	A
