ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04940	Type I diabetes mellitus	10/446	43/8091	8.66380811271004e-05	0.0022840948660781	0.00194832048467642	ICA1/CD86/FAS/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/HLA-DRA/HLA-F/HLA-A	10
hsa05330	Allograft rejection	9/446	38/8091	0.00016848671453691	0.00383297101748056	0.00326950340874022	CD86/FAS/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/HLA-DRA/HLA-F/HLA-A	9
hsa05135	Yersinia infection	19/446	137/8091	0.000171822838714646	0.00383297101748056	0.00326950340874022	RHOG/NLRP3/LCP2/FCGR2A/SRC/ITGA5/PIK3CD/WAS/FN1/IL6/RPS6KA6/MAPK11/CCL2/WIPF1/ELMO1/CD8A/IRAK1/GSK3B/LIMK1	19
hsa05140	Leishmaniasis	13/446	77/8091	0.00026238649408674	0.00543514880608247	0.0046361523391266	NCF2/ITGB2/FCGR2A/CYBB/NCF1/HLA-DQA1/MAPK11/HLA-DPB1/HLA-DMB/HLA-DQB1/ITGAM/HLA-DRA/IRAK1	13
hsa05169	Epstein-Barr virus infection	24/446	202/8091	0.00029215397505555	0.00564831018440729	0.00481797783424942	CASP9/VIM/RUNX3/CDK6/BTK/PIK3CD/CD44/FAS/IL6/HLA-DQA1/MAPK11/HLA-DPB1/HLA-DMB/HLA-DQB1/CD3E/HES1/HLA-DRA/HLA-F/ITGAL/B2M/HLA-A/SKP2/E2F3/IRAK1	24
hsa04061	Viral protein interaction with cytokine and cytokine receptor	14/446	100/8091	0.00109829253845293	0.0199065522594594	0.0169801806931868	CCL8/CSF1R/CCL3/CCL4/IL10RA/IL6/CCL21/CCL13/CSF1/CCL5/IL2RG/CCL2/CXCR4/CXCR3	14
hsa04672	Intestinal immune network for IgA production	9/446	49/8091	0.00123800422543858	0.0211188956104228	0.018014302970778	CD86/TNFSF13B/IL6/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/HLA-DRA/CXCR4	9
hsa05142	Chagas disease	14/446	102/8091	0.00133641893372983	0.021531193932314	0.0183659911945328	C1QA/C1QB/C1QC/CCL3/PIK3CD/SERPINE1/FAS/IL6/TLR6/MAPK11/CCL5/CD3E/CCL2/IRAK1	14
hsa04670	Leukocyte transendothelial migration	15/446	114/8091	0.00141186228205506	0.0215494769366299	0.0183815864976698	NCF2/MSN/ITGB2/MMP9/CYBB/ACTN1/PIK3CD/NCF1/MAPK11/ITGAM/THY1/ITGAL/CXCR4/ITK/TXK	15
hsa04658	Th1 and Th2 cell differentiation	13/446	92/8091	0.00150152087361236	0.0217720526673792	0.0185714423841529	GATA3/RUNX3/IL12RB1/HLA-DQA1/MAPK11/HLA-DPB1/HLA-DMB/HLA-DQB1/CD3E/IL2RG/HLA-DRA/STAT4/MAML3	13
hsa03410	Base excision repair	7/446	33/8091	0.00180329294021295	0.0249026167934169	0.0212417965388493	NEIL1/LIG1/POLD2/NEIL3/TDG/POLE/FEN1	7
hsa04062	Chemokine signaling pathway	21/446	192/8091	0.00199221102624279	0.0262609635277458	0.0224004589075146	HCK/GNGT2/SRC/CCL8/GNB4/CCL3/CCL4/PIK3CD/WAS/DOCK2/NCF1/CCL21/CCL13/CCL5/GRK5/CCL2/CXCR4/ITK/ELMO1/CXCR3/GSK3B	21
hsa05320	Autoimmune thyroid disease	9/446	53/8091	0.00219669510894547	0.0276974600693125	0.0236257826362557	CD86/FAS/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/HLA-DRA/HLA-F/HLA-A	9
hsa05321	Inflammatory bowel disease	10/446	65/8091	0.00272850425653411	0.0329694264331205	0.0281227412405928	GATA3/IL12RB1/IL6/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/IL2RG/HLA-DRA/STAT4	10
hsa03030	DNA replication	7/446	36/8091	0.00305451501880058	0.0344855033764954	0.0294159466187892	LIG1/POLD2/POLE/MCM3/RFC5/FEN1/RFC2	7
hsa04933	AGE-RAGE signaling pathway in diabetic complications	13/446	100/8091	0.00320534171328478	0.0344855033764954	0.0294159466187892	F3/CYBB/PLCE1/PIK3CD/COL1A1/SERPINE1/FN1/IL6/MAPK11/COL3A1/CCL2/NOX4/DIAPH1	13
hsa04060	Cytokine-cytokine receptor interaction	28/446	295/8091	0.00332523895793729	0.0344855033764954	0.0294159466187892	IL32/IL7R/CCL8/CSF1R/CCL3/ACVR2A/CCL4/IL10RA/IL12RB1/TNFSF13B/OSMR/TNFRSF12A/FAS/IL6/CCL21/CCL13/CSF1/EPOR/CCL5/IL2RG/GDF7/CCL2/TNFRSF4/LTB/TNFRSF21/CXCR4/CXCR3/TNFSF4	28
hsa04514	Cell adhesion molecules	17/446	149/8091	0.00334797168313322	0.0344855033764954	0.0294159466187892	CD86/ITGB2/PDCD1LG2/PTPRM/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/ITGAM/CD2/HLA-DRA/HLA-F/CD6/VCAN/ITGAL/HLA-A/CD8A	17
hsa04612	Antigen processing and presentation	11/446	78/8091	0.00344855033764954	0.0344855033764954	0.0294159466187892	IFI30/CTSB/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/HLA-DRA/HLA-F/B2M/HLA-A/CD8A	11
hsa05417	Lipid and atherosclerosis	22/446	215/8091	0.0036284289247289	0.035074812939046	0.0299186244670628	CD14/NCF2/PPARG/NLRP3/CASP9/MMP9/SRC/CYBB/LY96/CCL3/CYP2J2/PIK3CD/FAS/NCF1/IL6/TLR6/MAPK11/CCL5/CYP2C8/CCL2/IRAK1/GSK3B	22
hsa05205	Proteoglycans in cancer	21/446	205/8091	0.00437717541156374	0.0386556713586456	0.0329730772024745	MSN/CAV1/ERBB3/MMP9/SRC/PLAUR/ITGA5/FLNA/PLCE1/PLAU/PIK3CD/COL1A1/FN1/CD44/FAS/CAV2/THBS1/HBEGF/MAPK11/TWIST1/ITGB5	21
hsa04064	NF-kappa B signaling pathway	13/446	104/8091	0.0045170458828064	0.0386556713586456	0.0329730772024745	CD14/LY96/CCL4/BTK/PLAU/TNFSF13B/CCL21/CCL13/CARD11/LTB/EDARADD/IRAK1/TRIM25	13
hsa04620	Toll-like receptor signaling pathway	13/446	104/8091	0.0045170458828064	0.0386556713586456	0.0329730772024745	CD14/CD86/LY96/CCL3/CCL4/PIK3CD/IL6/TLR6/MAPK11/TLR8/CCL5/CTSK/IRAK1	13
hsa05166	Human T-cell leukemia virus 1 infection	22/446	219/8091	0.004532044228255	0.0386556713586456	0.0329730772024745	CREB3L4/SPI1/ITGB2/PIK3CD/IL6/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/CD3E/CREB5/IL2RG/HLA-DRA/HLA-F/ITGAL/B2M/HLA-A/PTTG1/E2F3/TCF3/RANBP1/CDC20	22
hsa05152	Tuberculosis	19/446	180/8091	0.0047487954477343	0.039347162281227	0.0335629151945131	CD14/FCER1G/ITGB2/CASP9/FCGR2A/SRC/CD209/IL10RA/IL6/HLA-DQA1/TLR6/CEBPB/MAPK11/HLA-DPB1/HLA-DMB/HLA-DQB1/ITGAM/HLA-DRA/IRAK1	19
hsa05310	Asthma	6/446	31/8091	0.00614934935750464	0.0488532305608011	0.0416715396798122	FCER1G/HLA-DQA1/HLA-DPB1/HLA-DMB/HLA-DQB1/HLA-DRA	6
hsa05163	Human cytomegalovirus infection	22/446	225/8091	0.00623299838189532	0.0488532305608011	0.0416715396798122	CREB3L4/GNGT2/CASP9/SRC/GNB4/CCL3/CCL4/CDK6/IL10RA/PIK3CD/FAS/IL6/MAPK11/CCL5/CREB5/HLA-F/CCL2/B2M/CXCR4/HLA-A/E2F3/GSK3B	22
hsa05164	Influenza A	18/446	172/8091	0.00645593083052936	0.0492689458119346	0.0420261425256066	TMPRSS2/NLRP3/CASP9/CDK6/PIK3CD/FAS/IL6/HLA-DQA1/RAB11A/HLA-DPB1/SOCS3/CCL5/HLA-DMB/HLA-DQB1/HLA-DRA/CCL2/RNASEL/TRIM25	18
