ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0032354	response to follicle-stimulating hormone	1/7	16/18866	0.00592246203862323	0.0307414682524947	0.0142920861173879	GCLM	1
BP	GO:0035729	cellular response to hepatocyte growth factor stimulus	1/7	17/18866	0.00629161550099622	0.0307414682524947	0.0142920861173879	GCLM	1
BP	GO:0097067	cellular response to thyroid hormone stimulus	1/7	17/18866	0.00629161550099622	0.0307414682524947	0.0142920861173879	GCLM	1
BP	GO:0006520	cellular amino acid metabolic process	2/7	340/18866	0.00640536687921019	0.0307414682524947	0.0142920861173879	GSS/GCLM	2
BP	GO:0006740	NADPH regeneration	1/7	18/18866	0.00666065145470718	0.0307414682524947	0.0142920861173879	PGD	1
BP	GO:0071371	cellular response to gonadotropin stimulus	1/7	18/18866	0.00666065145470718	0.0307414682524947	0.0142920861173879	GCLM	1
BP	GO:0035728	response to hepatocyte growth factor	1/7	19/18866	0.00702956993092818	0.0312425330263475	0.0145250372841791	GCLM	1
BP	GO:0006790	sulfur compound metabolic process	2/7	371/18866	0.00758660110714984	0.0325140047449279	0.0151161601007121	GSS/GCLM	2
BP	GO:0051900	regulation of mitochondrial depolarization	1/7	22/18866	0.00813562080628261	0.0336646378191004	0.0156511035474765	GCLM	1
BP	GO:0051882	mitochondrial depolarization	1/7	24/18866	0.00887240124027333	0.0354896049610933	0.0164995531836662	GCLM	1
BP	GO:0051156	glucose 6-phosphate metabolic process	1/7	26/18866	0.00960871251188933	0.036032671919585	0.0167520316819123	PGD	1
BP	GO:0097066	response to thyroid hormone	1/7	26/18866	0.00960871251188933	0.036032671919585	0.0167520316819123	GCLM	1
BP	GO:0034698	response to gonadotropin	1/7	27/18866	0.00997669228961817	0.036278881053157	0.0168664973317309	GCLM	1
BP	GO:0043457	regulation of cellular respiration	1/7	30/18866	0.0110799285638293	0.0390518649206862	0.018155691585933	CISD1	1
BP	GO:0006979	response to oxidative stress	2/7	458/18866	0.0113901272685335	0.0390518649206862	0.018155691585933	GSS/GCLM	2
BP	GO:0031667	response to nutrient levels	2/7	473/18866	0.0121168466348841	0.0395095488733186	0.018368474476192	GSS/GCLM	2
BP	GO:0006536	glutamate metabolic process	1/7	33/18866	0.0121821109026066	0.0395095488733186	0.018368474476192	GCLM	1
BP	GO:0006099	tricarboxylic acid cycle	1/7	34/18866	0.0125492709527146	0.039629276692783	0.0184241374098026	CS	1
BP	GO:0006739	NADP metabolic process	1/7	35/18866	0.0129163140231974	0.0397425046867611	0.0184767784947223	PGD	1
BP	GO:0000096	sulfur amino acid metabolic process	1/7	40/18866	0.0147497757681166	0.043170075418878	0.0200702982210573	GCLM	1
BP	GO:0009069	serine family amino acid metabolic process	1/7	40/18866	0.0147497757681166	0.043170075418878	0.0200702982210573	GCLM	1
BP	GO:0035987	endodermal cell differentiation	1/7	46/18866	0.0169460760218025	0.0472913749445652	0.0219863409829996	HSBP1	1
BP	GO:0044275	cellular carbohydrate catabolic process	1/7	46/18866	0.0169460760218025	0.0472913749445652	0.0219863409829996	PGD	1
BP	GO:0003254	regulation of membrane depolarization	1/7	49/18866	0.0180426515311283	0.0492072314485317	0.0228770461997559	GCLM	1
BP	GO:0001706	endoderm formation	1/7	55/18866	0.0202326574963296	0.0539537533235457	0.0250837625100695	HSBP1	1
BP	GO:0046686	response to cadmium ion	1/7	64/18866	0.0235098163392657	0.0613299556676498	0.0285130495647845	GSS	1
BP	GO:0071230	cellular response to amino acid stimulus	1/7	69/18866	0.0253263969255438	0.0646631410864949	0.0300626883998617	GCLM	1
BP	GO:0014823	response to activity	1/7	71/18866	0.0260522176691387	0.0651305441728467	0.0302799898347445	GCLM	1
BP	GO:0051881	regulation of mitochondrial membrane potential	1/7	74/18866	0.0271400801007292	0.0655491389817531	0.0304745997020431	GCLM	1
BP	GO:0009064	glutamine family amino acid metabolic process	1/7	75/18866	0.0275024693854937	0.0655491389817531	0.0304745997020431	GCLM	1
BP	GO:0071229	cellular response to acid chemical	1/7	76/18866	0.0278647429587097	0.0655491389817531	0.0304745997020431	GCLM	1
BP	GO:0007492	endoderm development	1/7	79/18866	0.0289508697169409	0.0655491389817531	0.0304745997020431	HSBP1	1
BP	GO:1900034	regulation of cellular response to heat	1/7	79/18866	0.0289508697169409	0.0655491389817531	0.0304745997020431	HSBP1	1
BP	GO:0009060	aerobic respiration	1/7	87/18866	0.031842124103344	0.0707602757852088	0.0328973211983866	CS	1
BP	GO:0051899	membrane depolarization	1/7	91/18866	0.0332849820932239	0.0726217791124886	0.0337627569558061	GCLM	1
BP	GO:0043648	dicarboxylic acid metabolic process	1/7	97/18866	0.035445813100899	0.0733361650363428	0.0340948837449664	GCLM	1
BP	GO:1990823	response to leukemia inhibitory factor	1/7	97/18866	0.035445813100899	0.0733361650363428	0.0340948837449664	GCLM	1
BP	GO:1990830	cellular response to leukemia inhibitory factor	1/7	97/18866	0.035445813100899	0.0733361650363428	0.0340948837449664	GCLM	1
BP	GO:0046364	monosaccharide biosynthetic process	1/7	100/18866	0.0365246752092901	0.0742874750019461	0.0345371594307293	PGD	1
BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	1/7	107/18866	0.039037998526547	0.078075997053094	0.0362984898580174	GCLM	1
BP	GO:0008637	apoptotic mitochondrial changes	1/7	125/18866	0.0454750409805521	0.0870216649569307	0.0404574407255906	GCLM	1
BP	GO:0034605	cellular response to heat	1/7	125/18866	0.0454750409805521	0.0870216649569307	0.0404574407255906	HSBP1	1
BP	GO:0001704	formation of primary germ layer	1/7	127/18866	0.0461879810664289	0.0870216649569307	0.0404574407255906	HSBP1	1
BP	GO:0009410	response to xenobiotic stimulus	1/7	130/18866	0.0472565353781081	0.0870216649569307	0.0404574407255906	GSS	1
BP	GO:0071333	cellular response to glucose stimulus	1/7	134/18866	0.0486796782135706	0.0870216649569307	0.0404574407255906	GCLM	1
BP	GO:0071331	cellular response to hexose stimulus	1/7	136/18866	0.0493905660731651	0.0870216649569307	0.0404574407255906	GCLM	1
BP	GO:0071326	cellular response to monosaccharide stimulus	1/7	137/18866	0.0497458392198542	0.0870216649569307	0.0404574407255906	GCLM	1
MF	GO:0016881	acid-amino acid ligase activity	2/7	21/18352	2.60991366299345e-05	0.000809073235527968	0.000412091630998965	GSS/GCLM	2
MF	GO:0016879	ligase activity, forming carbon-nitrogen bonds	2/7	48/18352	0.000139503293727873	0.00216230105278203	0.00110134179258847	GSS/GCLM	2
MF	GO:0016874	ligase activity	2/7	165/18352	0.00163804090615862	0.0169264226969724	0.00862126792715062	GSS/GCLM	2
MF	GO:0008429	phosphatidylethanolamine binding	1/7	11/18352	0.00418887446352201	0.0235984446994869	0.012019581340995	PEBP1	1
MF	GO:0043295	glutathione binding	1/7	12/18352	0.00456893432278582	0.0235984446994869	0.012019581340995	GSS	1
MF	GO:1900750	oligopeptide binding	1/7	13/18352	0.00494886984403631	0.0235984446994869	0.012019581340995	GSS	1
MF	GO:0016594	glycine binding	1/7	14/18352	0.00532868106117446	0.0235984446994869	0.012019581340995	GSS	1
MF	GO:0051537	2 iron, 2 sulfur cluster binding	1/7	22/18352	0.008362699915758	0.0324054621735622	0.0165053287811013	CISD1	1
MF	GO:0050661	NADP binding	1/7	54/18352	0.0204195886334054	0.0653110145100188	0.0332653724159688	PGD	1
MF	GO:0016597	amino acid binding	1/7	59/18352	0.0222920793254262	0.0653110145100188	0.0332653724159688	GSS	1
MF	GO:0051536	iron-sulfur cluster binding	1/7	67/18352	0.0252816830361363	0.0653110145100188	0.0332653724159688	CISD1	1
MF	GO:0051540	metal cluster binding	1/7	67/18352	0.0252816830361363	0.0653110145100188	0.0332653724159688	CISD1	1
MF	GO:0072341	modified amino acid binding	1/7	90/18352	0.0338331876141478	0.0806791396952755	0.0410929404220418	GSS	1
MF	GO:0004867	serine-type endopeptidase inhibitor activity	1/7	98/18352	0.0367925105174911	0.0814691304315874	0.0414953126137118	PEBP1	1
MF	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	1/7	120/18352	0.0448906213227984	0.0927739507337834	0.0472532856029457	PGD	1
MF	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	1/7	130/18352	0.0485522444643652	0.0940699736497076	0.0479133991424657	PGD	1
