ID	m6Acluster
GSM1539715	Control
GSM1539716	Control
GSM1539731	Control
GSM1539738	Control
GSM1539740	Control
GSM1539745	Control
GSM1539754	Control
GSM1539757	Control
GSM1539758	Control
GSM1539759	Control
GSM1539762	Control
GSM1539764	Control
GSM1539770	Control
GSM1539775	Control
GSM1539779	Control
GSM1539781	Control
GSM1539795	Control
GSM1539796	Control
GSM1539679	Control
GSM1539119	Control
GSM1539120	Control
GSM1539121	Control
GSM1539122	Control
GSM1539123	Control
GSM1539124	Control
GSM1539125	Control
GSM1539126	Control
GSM1539127	Control
GSM1539128	Control
GSM1539129	Control
GSM1539130	Control
GSM1539131	Control
GSM1539132	Control
GSM1539133	Control
GSM1539134	Control
GSM1539135	Control
GSM1539136	Control
GSM1539137	Control
GSM1539138	Control
GSM1539139	Control
GSM1539140	Control
GSM1539141	Control
GSM1539142	Control
GSM1539143	Control
GSM1539144	Control
GSM1539145	Control
GSM1539146	Control
GSM1539147	Control
GSM1539148	Control
GSM1539149	Control
GSM1539150	Control
GSM1539151	Control
GSM1539152	Control
GSM1539153	Control
GSM1539154	Control
GSM1539155	Control
GSM1539156	Control
GSM1539157	Control
GSM1539158	Control
GSM1539159	Control
GSM1539160	Control
GSM1539161	Control
GSM1539162	Control
GSM1539163	Control
GSM1539164	Control
GSM1539165	Control
GSM1539166	Control
GSM1539167	Control
GSM1539168	Control
GSM1539169	Control
GSM1539170	Control
GSM1539171	Control
GSM1539172	Control
GSM1539173	Control
GSM1539174	Control
GSM1539175	Control
GSM1539176	Control
GSM1539177	Control
GSM1539178	Control
GSM1539179	Control
GSM1539180	Control
GSM1539181	Control
GSM1539182	Control
GSM1539183	Control
GSM1539184	Control
GSM1539185	Control
GSM1539331	Control
GSM1539332	Control
GSM1539333	Control
GSM1539334	Control
GSM1539335	Control
GSM1539336	Control
GSM1539337	Control
GSM1539338	Control
GSM1539339	Control
GSM1539340	Control
GSM1539341	Control
GSM1539342	Control
GSM1539343	Control
GSM1539344	Control
GSM1539345	Control
GSM1539346	Control
GSM1539347	Control
GSM1539348	Control
GSM1539349	Control
GSM1539350	Control
GSM1539351	Control
GSM1539352	Control
GSM1539353	Control
GSM1539354	Control
GSM1539355	Control
GSM1539356	Control
GSM1539357	Control
GSM1539358	Control
GSM1539359	Control
GSM1539360	Control
GSM1539361	Control
GSM1539362	Control
GSM1539363	Control
GSM1539364	Control
GSM1539365	Control
GSM1539366	Control
GSM1539367	Control
GSM1539511	Disease
GSM1539512	Disease
GSM1539513	Disease
GSM1539514	Disease
GSM1539515	Disease
GSM1539516	Disease
GSM1539517	Disease
GSM1539518	Disease
GSM1539519	Disease
GSM1539520	Disease
GSM1539521	Disease
GSM1539522	Disease
GSM1539523	Disease
GSM1539524	Disease
GSM1539525	Disease
GSM1539526	Disease
GSM1539527	Disease
GSM1539528	Disease
GSM1539529	Disease
GSM1539530	Disease
GSM1539531	Disease
GSM1539532	Disease
GSM1539533	Disease
GSM1539534	Disease
GSM1539535	Disease
GSM1539536	Disease
GSM1539537	Disease
GSM1539538	Disease
GSM1539539	Disease
GSM1539540	Disease
GSM1539541	Disease
GSM1539542	Disease
GSM1539543	Disease
GSM1539544	Disease
GSM1539545	Disease
GSM1539546	Disease
GSM1539547	Disease
GSM1539548	Disease
GSM1539549	Disease
GSM1539550	Disease
GSM1539554	Disease
GSM1539560	Disease
GSM1539562	Disease
GSM1539563	Disease
GSM1539570	Disease
GSM1539571	Disease
GSM1539575	Disease
GSM1539576	Disease
GSM1539577	Disease
GSM1539579	Disease
GSM1539581	Disease
GSM1539582	Disease
GSM1539583	Disease
GSM1539586	Disease
GSM1539587	Disease
GSM1539589	Disease
GSM1539593	Disease
GSM1539599	Disease
GSM1539604	Disease
GSM1539606	Disease
GSM1539613	Disease
GSM1539616	Disease
GSM1539619	Disease
GSM1539623	Disease
GSM1539624	Disease
GSM1539626	Disease
GSM1539627	Disease
GSM1539629	Disease
GSM1539630	Disease
GSM1539632	Disease
GSM1539634	Disease
GSM1539637	Disease
GSM1539641	Disease
GSM1539643	Disease
GSM1539644	Disease
GSM1539646	Disease
GSM1539647	Disease
GSM1539648	Disease
GSM1539650	Disease
GSM1539656	Disease
GSM1539661	Disease
GSM1539662	Disease
GSM1539663	Disease
GSM1539665	Disease
GSM1539666	Disease
GSM1539673	Disease
GSM1539674	Disease
GSM1539675	Disease
GSM1539676	Disease
GSM1539678	Disease
GSM1539687	Disease
GSM1539689	Disease
GSM1539691	Disease
GSM1539692	Disease
GSM1539693	Disease
GSM1539697	Disease
GSM1539698	Disease
GSM1539701	Disease
GSM1539703	Disease
GSM1539705	Disease
GSM1539713	Disease
GSM1539717	Disease
GSM1539718	Disease
GSM1539719	Disease
GSM1539720	Disease
GSM1539721	Disease
GSM1539722	Disease
GSM1539723	Disease
GSM1539727	Disease
GSM1539728	Disease
GSM1539729	Disease
GSM1539732	Disease
GSM1539733	Disease
GSM1539736	Disease
GSM1539737	Disease
GSM1539739	Disease
GSM1539742	Disease
GSM1539743	Disease
GSM1539746	Disease
GSM1539747	Disease
GSM1539748	Disease
GSM1539749	Disease
GSM1539751	Disease
GSM1539752	Disease
GSM1539763	Disease
GSM1539765	Disease
GSM1539766	Disease
GSM1539767	Disease
GSM1539768	Disease
GSM1539769	Disease
GSM1539773	Disease
GSM1539777	Disease
GSM1539778	Disease
GSM1539780	Disease
GSM1539783	Disease
GSM1539785	Disease
GSM1539787	Disease
GSM1539788	Disease
GSM1539794	Disease
GSM1539660	Disease
GSM1539695	Disease
GSM1539750	Disease
GSM1539409	Disease
GSM1539410	Disease
GSM1539411	Disease
GSM1539412	Disease
GSM1539413	Disease
GSM1539414	Disease
GSM1539415	Disease
GSM1539416	Disease
GSM1539417	Disease
GSM1539418	Disease
GSM1539419	Disease
GSM1539420	Disease
GSM1539421	Disease
GSM1539422	Disease
GSM1539423	Disease
GSM1539424	Disease
GSM1539425	Disease
GSM1539426	Disease
GSM1539427	Disease
GSM1539428	Disease
GSM1539429	Disease
GSM1539430	Disease
GSM1539431	Disease
GSM1539432	Disease
GSM1539433	Disease
GSM1539434	Disease
GSM1539435	Disease
GSM1539436	Disease
GSM1539437	Disease
GSM1539438	Disease
GSM1539551	Disease
GSM1539556	Disease
GSM1539557	Disease
GSM1539558	Disease
GSM1539559	Disease
GSM1539561	Disease
GSM1539564	Disease
GSM1539565	Disease
GSM1539566	Disease
GSM1539567	Disease
GSM1539568	Disease
GSM1539572	Disease
GSM1539574	Disease
GSM1539584	Disease
GSM1539590	Disease
GSM1539591	Disease
GSM1539592	Disease
GSM1539594	Disease
GSM1539598	Disease
GSM1539602	Disease
GSM1539608	Disease
GSM1539609	Disease
GSM1539610	Disease
GSM1539611	Disease
GSM1539612	Disease
GSM1539614	Disease
GSM1539618	Disease
GSM1539620	Disease
GSM1539622	Disease
GSM1539625	Disease
GSM1539628	Disease
GSM1539631	Disease
GSM1539633	Disease
GSM1539635	Disease
GSM1539636	Disease
GSM1539638	Disease
GSM1539639	Disease
GSM1539640	Disease
GSM1539642	Disease
GSM1539645	Disease
GSM1539654	Disease
GSM1539657	Disease
GSM1539658	Disease
GSM1539659	Disease
GSM1539669	Disease
GSM1539672	Disease
GSM1539680	Disease
GSM1539681	Disease
GSM1539682	Disease
GSM1539683	Disease
GSM1539684	Disease
GSM1539690	Disease
GSM1539700	Disease
GSM1539708	Disease
GSM1539724	Disease
GSM1539725	Disease
GSM1539726	Disease
GSM1539730	Disease
GSM1539734	Disease
GSM1539735	Disease
GSM1539741	Disease
GSM1539744	Disease
GSM1539753	Disease
GSM1539755	Disease
GSM1539756	Disease
GSM1539760	Disease
GSM1539761	Disease
GSM1539771	Disease
GSM1539772	Disease
GSM1539774	Disease
GSM1539776	Disease
GSM1539782	Disease
GSM1539784	Disease
GSM1539786	Disease
GSM1539789	Disease
GSM1539790	Disease
GSM1539791	Disease
GSM1539792	Disease
GSM1539793	Disease
GSM1539688	Disease
GSM1539186	Disease
GSM1539187	Disease
GSM1539188	Disease
GSM1539189	Disease
GSM1539190	Disease
GSM1539191	Disease
GSM1539192	Disease
GSM1539193	Disease
GSM1539194	Disease
GSM1539195	Disease
GSM1539196	Disease
GSM1539197	Disease
GSM1539198	Disease
GSM1539199	Disease
GSM1539200	Disease
GSM1539201	Disease
GSM1539202	Disease
GSM1539203	Disease
GSM1539204	Disease
GSM1539205	Disease
GSM1539206	Disease
GSM1539207	Disease
GSM1539208	Disease
GSM1539209	Disease
GSM1539210	Disease
GSM1539211	Disease
GSM1539212	Disease
GSM1539213	Disease
GSM1539214	Disease
GSM1539215	Disease
GSM1539216	Disease
GSM1539217	Disease
GSM1539218	Disease
GSM1539219	Disease
GSM1539220	Disease
GSM1539221	Disease
GSM1539222	Disease
GSM1539223	Disease
GSM1539224	Disease
GSM1539225	Disease
GSM1539226	Disease
GSM1539227	Disease
GSM1539228	Disease
GSM1539229	Disease
GSM1539230	Disease
GSM1539231	Disease
GSM1539232	Disease
GSM1539233	Disease
GSM1539234	Disease
GSM1539235	Disease
GSM1539236	Disease
GSM1539237	Disease
GSM1539238	Disease
GSM1539239	Disease
GSM1539240	Disease
GSM1539241	Disease
GSM1539242	Disease
GSM1539243	Disease
GSM1539244	Disease
GSM1539245	Disease
GSM1539246	Disease
GSM1539247	Disease
GSM1539248	Disease
GSM1539249	Disease
GSM1539250	Disease
GSM1539251	Disease
GSM1539252	Disease
GSM1539253	Disease
GSM1539254	Disease
GSM1539255	Disease
GSM1539256	Disease
GSM1539257	Disease
GSM1539258	Disease
GSM1539259	Disease
GSM1539260	Disease
GSM1539261	Disease
GSM1539262	Disease
GSM1539263	Disease
GSM1539264	Disease
GSM1539265	Disease
GSM1539266	Disease
GSM1539267	Disease
GSM1539268	Disease
GSM1539269	Disease
GSM1539270	Disease
GSM1539271	Disease
GSM1539272	Disease
GSM1539273	Disease
GSM1539274	Disease
GSM1539275	Disease
GSM1539276	Disease
GSM1539277	Disease
GSM1539278	Disease
GSM1539279	Disease
GSM1539280	Disease
GSM1539281	Disease
GSM1539282	Disease
GSM1539283	Disease
GSM1539284	Disease
GSM1539285	Disease
GSM1539286	Disease
GSM1539287	Disease
GSM1539288	Disease
GSM1539289	Disease
GSM1539290	Disease
GSM1539291	Disease
GSM1539292	Disease
GSM1539293	Disease
GSM1539294	Disease
GSM1539295	Disease
GSM1539296	Disease
GSM1539297	Disease
GSM1539298	Disease
GSM1539299	Disease
GSM1539300	Disease
GSM1539301	Disease
GSM1539302	Disease
GSM1539303	Disease
GSM1539304	Disease
GSM1539305	Disease
GSM1539306	Disease
GSM1539307	Disease
GSM1539308	Disease
GSM1539309	Disease
GSM1539310	Disease
GSM1539311	Disease
GSM1539312	Disease
GSM1539313	Disease
GSM1539314	Disease
GSM1539315	Disease
GSM1539316	Disease
GSM1539317	Disease
GSM1539318	Disease
GSM1539319	Disease
GSM1539320	Disease
GSM1539321	Disease
GSM1539322	Disease
GSM1539323	Disease
GSM1539324	Disease
GSM1539325	Disease
GSM1539326	Disease
GSM1539327	Disease
GSM1539328	Disease
GSM1539329	Disease
GSM1539330	Disease
GSM1539080	Disease
GSM1539081	Disease
GSM1539082	Disease
GSM1539083	Disease
GSM1539084	Disease
GSM1539085	Disease
GSM1539086	Disease
GSM1539087	Disease
GSM1539088	Disease
GSM1539089	Disease
GSM1539090	Disease
GSM1539091	Disease
GSM1539092	Disease
GSM1539093	Disease
GSM1539094	Disease
GSM1539095	Disease
GSM1539096	Disease
GSM1539097	Disease
GSM1539098	Disease
GSM1539099	Disease
GSM1539100	Disease
GSM1539101	Disease
GSM1539102	Disease
GSM1539103	Disease
GSM1539104	Disease
GSM1539105	Disease
GSM1539106	Disease
GSM1539107	Disease
GSM1539108	Disease
GSM1539109	Disease
GSM1539110	Disease
GSM1539111	Disease
GSM1539112	Disease
GSM1539113	Disease
GSM1539114	Disease
GSM1539115	Disease
GSM1539116	Disease
GSM1539117	Disease
GSM1539118	Disease
GSM1539368	Disease
GSM1539369	Disease
GSM1539370	Disease
GSM1539371	Disease
GSM1539372	Disease
GSM1539373	Disease
GSM1539374	Disease
GSM1539375	Disease
GSM1539376	Disease
GSM1539377	Disease
GSM1539378	Disease
GSM1539379	Disease
GSM1539380	Disease
GSM1539381	Disease
GSM1539382	Disease
GSM1539383	Disease
GSM1539384	Disease
GSM1539385	Disease
GSM1539386	Disease
GSM1539387	Disease
GSM1539388	Disease
GSM1539389	Disease
GSM1539390	Disease
GSM1539391	Disease
GSM1539392	Disease
GSM1539393	Disease
GSM1539394	Disease
GSM1539395	Disease
GSM1539396	Disease
GSM1539397	Disease
GSM1539398	Disease
GSM1539399	Disease
GSM1539400	Disease
GSM1539401	Disease
GSM1539402	Disease
GSM1539403	Disease
GSM1539404	Disease
GSM1539405	Disease
GSM1539406	Disease
GSM1539407	Disease
GSM1539408	Disease
